       wId wName                                          wCap        sId        nId
         8 Supplier#000000004___IRAN                      2246          4         10
         8 Supplier#000000090____SAUDI ARABIA             8361         90         20
         8 Supplier#000000090____SAUDI ARABIA             8361         90         20
         8 Supplier#000000090____SAUDI ARABIA             8361         90         20
         8 Supplier#000000090____SAUDI ARABIA             8361         90         20
         8 Supplier#000000090____SAUDI ARABIA             8361         90         20
         8 Supplier#000000090____SAUDI ARABIA             8361         90         20
         8 Supplier#000000090____SAUDI ARABIA             8361         90         20
         8 Supplier#000000090____SAUDI ARABIA             8361         90         20
         9 Supplier#000000005___CANADA                    1730          5          3
         9 Supplier#000000076____IRAN                     8325         76         10
         9 Supplier#000000076____IRAN                     8325         76         10
         9 Supplier#000000076____IRAN                     8325         76         10
         9 Supplier#000000076____IRAN                     8325         76         10
         9 Supplier#000000076____IRAN                     8325         76         10
         9 Supplier#000000076____IRAN                     8325         76         10
         9 Supplier#000000076____IRAN                     8325         76         10
         9 Supplier#000000076____IRAN                     8325         76         10
        10 Supplier#000000005___EGYPT                     1730          5          4
        10 Supplier#000000076____BRAZIL                   8325         76          2
        10 Supplier#000000076____BRAZIL                   8325         76          2
        10 Supplier#000000076____BRAZIL                   8325         76          2
        10 Supplier#000000076____BRAZIL                   8325         76          2
        10 Supplier#000000076____BRAZIL                   8325         76          2
        10 Supplier#000000076____BRAZIL                   8325         76          2
        10 Supplier#000000076____BRAZIL                   8325         76          2
        10 Supplier#000000076____BRAZIL                   8325         76          2
        11 Supplier#000000006___IRAN                      1732          6         10
        11 Supplier#000000076____EGYPT                    8325         76          4
        11 Supplier#000000076____EGYPT                    8325         76          4
        11 Supplier#000000076____EGYPT                    8325         76          4
        11 Supplier#000000076____EGYPT                    8325         76          4
        11 Supplier#000000076____EGYPT                    8325         76          4
        11 Supplier#000000076____EGYPT                    8325         76          4
        11 Supplier#000000076____EGYPT                    8325         76          4
        11 Supplier#000000076____EGYPT                    8325         76          4
        12 Supplier#000000006___CANADA                    1732          6          3
        12 Supplier#000000073____BRAZIL                  11646         73          2
        12 Supplier#000000073____BRAZIL                  11646         73          2
        12 Supplier#000000073____BRAZIL                  11646         73          2
        12 Supplier#000000073____BRAZIL                  11646         73          2
        12 Supplier#000000073____BRAZIL                  11646         73          2
        12 Supplier#000000073____BRAZIL                  11646         73          2
        12 Supplier#000000073____BRAZIL                  11646         73          2
        12 Supplier#000000073____BRAZIL                  11646         73          2
        13 Supplier#000000007___CANADA                    1894          7          3
        13 Supplier#000000073____JAPAN                   11646         73         12
        13 Supplier#000000073____JAPAN                   11646         73         12
        13 Supplier#000000073____JAPAN                   11646         73         12
        13 Supplier#000000073____JAPAN                   11646         73         12
        13 Supplier#000000073____JAPAN                   11646         73         12
        13 Supplier#000000073____JAPAN                   11646         73         12
        13 Supplier#000000073____JAPAN                   11646         73         12
        13 Supplier#000000073____JAPAN                   11646         73         12
        14 Supplier#000000007___ROMANIA                   1894          7         19
        14 Supplier#000000073____SAUDI ARABIA            11646         73         20
        14 Supplier#000000073____SAUDI ARABIA            11646         73         20
        14 Supplier#000000073____SAUDI ARABIA            11646         73         20
        14 Supplier#000000073____SAUDI ARABIA            11646         73         20
        14 Supplier#000000073____SAUDI ARABIA            11646         73         20
        14 Supplier#000000073____SAUDI ARABIA            11646         73         20
        14 Supplier#000000073____SAUDI ARABIA            11646         73         20
        14 Supplier#000000073____SAUDI ARABIA            11646         73         20
        15 Supplier#000000008___CANADA                    2088          8          3
        15 Supplier#000000075____BRAZIL                   9450         75          2
        15 Supplier#000000075____BRAZIL                   9450         75          2
        15 Supplier#000000075____BRAZIL                   9450         75          2
        15 Supplier#000000075____BRAZIL                   9450         75          2
        15 Supplier#000000075____BRAZIL                   9450         75          2
        15 Supplier#000000075____BRAZIL                   9450         75          2
        15 Supplier#000000075____BRAZIL                   9450         75          2
        15 Supplier#000000075____BRAZIL                   9450         75          2
        16 Supplier#000000008___EGYPT                     2088          8          4
        16 Supplier#000000075____SAUDI ARABIA             9450         75         20
        16 Supplier#000000075____SAUDI ARABIA             9450         75         20
        16 Supplier#000000075____SAUDI ARABIA             9450         75         20
        16 Supplier#000000075____SAUDI ARABIA             9450         75         20
        16 Supplier#000000075____SAUDI ARABIA             9450         75         20
        16 Supplier#000000075____SAUDI ARABIA             9450         75         20
        16 Supplier#000000075____SAUDI ARABIA             9450         75         20
        16 Supplier#000000075____SAUDI ARABIA             9450         75         20
        17 Supplier#000000009___EGYPT                     1794          9          4
        17 Supplier#000000075____GERMANY                  9450         75          7
        17 Supplier#000000075____GERMANY                  9450         75          7
        17 Supplier#000000075____GERMANY                  9450         75          7
        17 Supplier#000000075____GERMANY                  9450         75          7
        17 Supplier#000000075____GERMANY                  9450         75          7
        17 Supplier#000000075____GERMANY                  9450         75          7
        17 Supplier#000000075____GERMANY                  9450         75          7
        17 Supplier#000000075____GERMANY                  9450         75          7
        18 Supplier#000000009___IRAQ                      1794          9         11
        18 Supplier#000000082____CANADA                   9036         82          3
        18 Supplier#000000082____CANADA                   9036         82          3
        18 Supplier#000000082____CANADA                   9036         82          3
        18 Supplier#000000082____CANADA                   9036         82          3
        18 Supplier#000000082____CANADA                   9036         82          3
        18 Supplier#000000082____CANADA                   9036         82          3
        18 Supplier#000000082____CANADA                   9036         82          3
        18 Supplier#000000082____CANADA                   9036         82          3
        19 Supplier#000000010___GERMANY                   1928         10          7
        19 Supplier#000000082____IRAN                     9036         82         10
        19 Supplier#000000082____IRAN                     9036         82         10
        19 Supplier#000000082____IRAN                     9036         82         10
        19 Supplier#000000082____IRAN                     9036         82         10
        19 Supplier#000000082____IRAN                     9036         82         10
        19 Supplier#000000082____IRAN                     9036         82         10
        19 Supplier#000000082____IRAN                     9036         82         10
        19 Supplier#000000082____IRAN                     9036         82         10
        20 Supplier#000000010___CANADA                    1928         10          3
        20 Supplier#000000082____MOZAMBIQUE               9036         82         16
        20 Supplier#000000082____MOZAMBIQUE               9036         82         16
        20 Supplier#000000082____MOZAMBIQUE               9036         82         16
        20 Supplier#000000082____MOZAMBIQUE               9036         82         16
        20 Supplier#000000082____MOZAMBIQUE               9036         82         16
        20 Supplier#000000082____MOZAMBIQUE               9036         82         16
        20 Supplier#000000082____MOZAMBIQUE               9036         82         16
        20 Supplier#000000082____MOZAMBIQUE               9036         82         16
        21 Supplier#000000011___EGYPT                     1840         11          4
        21 Supplier#000000065____CANADA                   7407         65          3
        21 Supplier#000000065____CANADA                   7407         65          3
        21 Supplier#000000065____CANADA                   7407         65          3
        21 Supplier#000000065____CANADA                   7407         65          3
        21 Supplier#000000065____CANADA                   7407         65          3
        21 Supplier#000000065____CANADA                   7407         65          3
        21 Supplier#000000065____CANADA                   7407         65          3
        21 Supplier#000000065____CANADA                   7407         65          3
        22 Supplier#000000011___ROMANIA                   1840         11         19
        22 Supplier#000000065____IRAN                     7407         65         10
        22 Supplier#000000065____IRAN                     7407         65         10
        22 Supplier#000000065____IRAN                     7407         65         10
        22 Supplier#000000065____IRAN                     7407         65         10
        22 Supplier#000000065____IRAN                     7407         65         10
        22 Supplier#000000065____IRAN                     7407         65         10
        22 Supplier#000000065____IRAN                     7407         65         10
        22 Supplier#000000065____IRAN                     7407         65         10
        23 Supplier#000000012___SAUDI ARABIA              1618         12         20
        23 Supplier#000000065____UNITED KINGDOM           7407         65         23
        23 Supplier#000000065____UNITED KINGDOM           7407         65         23
        23 Supplier#000000065____UNITED KINGDOM           7407         65         23
        23 Supplier#000000065____UNITED KINGDOM           7407         65         23
        23 Supplier#000000065____UNITED KINGDOM           7407         65         23
        23 Supplier#000000065____UNITED KINGDOM           7407         65         23
        23 Supplier#000000065____UNITED KINGDOM           7407         65         23
        23 Supplier#000000065____UNITED KINGDOM           7407         65         23
        24 Supplier#000000012___INDONESIA                 1618         12          9
        24 Supplier#000000004____CANADA                  10107          4          3
        24 Supplier#000000004____CANADA                  10107          4          3
        24 Supplier#000000004____CANADA                  10107          4          3
        24 Supplier#000000004____CANADA                  10107          4          3
        24 Supplier#000000004____CANADA                  10107          4          3
        24 Supplier#000000004____CANADA                  10107          4          3
        24 Supplier#000000004____CANADA                  10107          4          3
        24 Supplier#000000004____CANADA                  10107          4          3
        25 Supplier#000000013___EGYPT                     1872         13          4
        25 Supplier#000000004____IRAN                    10107          4         10
        25 Supplier#000000004____IRAN                    10107          4         10
        25 Supplier#000000004____IRAN                    10107          4         10
        25 Supplier#000000004____IRAN                    10107          4         10
        25 Supplier#000000004____IRAN                    10107          4         10
        25 Supplier#000000004____IRAN                    10107          4         10
        25 Supplier#000000004____IRAN                    10107          4         10
        25 Supplier#000000004____IRAN                    10107          4         10
        26 Supplier#000000013___MOZAMBIQUE                1872         13         16
        26 Supplier#000000004____UNITED KINGDOM          10107          4         23
        26 Supplier#000000004____UNITED KINGDOM          10107          4         23
        26 Supplier#000000004____UNITED KINGDOM          10107          4         23
        26 Supplier#000000004____UNITED KINGDOM          10107          4         23
        26 Supplier#000000004____UNITED KINGDOM          10107          4         23
        26 Supplier#000000004____UNITED KINGDOM          10107          4         23
        26 Supplier#000000004____UNITED KINGDOM          10107          4         23
        26 Supplier#000000004____UNITED KINGDOM          10107          4         23
        27 Supplier#000000014___CANADA                    2130         14          3
        27 Supplier#000000048____IRAN                    10224         48         10
        27 Supplier#000000048____IRAN                    10224         48         10
        27 Supplier#000000048____IRAN                    10224         48         10
        27 Supplier#000000048____IRAN                    10224         48         10
        27 Supplier#000000048____IRAN                    10224         48         10
        27 Supplier#000000048____IRAN                    10224         48         10
        27 Supplier#000000048____IRAN                    10224         48         10
        27 Supplier#000000048____IRAN                    10224         48         10
        28 Supplier#000000014___EGYPT                     2130         14          4
        28 Supplier#000000048____JAPAN                   10224         48         12
        28 Supplier#000000048____JAPAN                   10224         48         12
        28 Supplier#000000048____JAPAN                   10224         48         12
        28 Supplier#000000048____JAPAN                   10224         48         12
        28 Supplier#000000048____JAPAN                   10224         48         12
        28 Supplier#000000048____JAPAN                   10224         48         12
        28 Supplier#000000048____JAPAN                   10224         48         12
        28 Supplier#000000048____JAPAN                   10224         48         12
        29 Supplier#000000015___SAUDI ARABIA              2256         15         20
        29 Supplier#000000048____BRAZIL                  10224         48          2
        29 Supplier#000000048____BRAZIL                  10224         48          2
        29 Supplier#000000048____BRAZIL                  10224         48          2
        29 Supplier#000000048____BRAZIL                  10224         48          2
        29 Supplier#000000048____BRAZIL                  10224         48          2
        29 Supplier#000000048____BRAZIL                  10224         48          2
        29 Supplier#000000048____BRAZIL                  10224         48          2
        29 Supplier#000000048____BRAZIL                  10224         48          2
        30 Supplier#000000015___EGYPT                     2256         15          4
        30 Supplier#000000046____MOZAMBIQUE              10503         46         16
        30 Supplier#000000046____MOZAMBIQUE              10503         46         16
        30 Supplier#000000046____MOZAMBIQUE              10503         46         16
        30 Supplier#000000046____MOZAMBIQUE              10503         46         16
        30 Supplier#000000046____MOZAMBIQUE              10503         46         16
        30 Supplier#000000046____MOZAMBIQUE              10503         46         16
        30 Supplier#000000046____MOZAMBIQUE              10503         46         16
        30 Supplier#000000046____MOZAMBIQUE              10503         46         16
        31 Supplier#000000016___SAUDI ARABIA              1972         16         20
        31 Supplier#000000046____CANADA                  10503         46          3
        31 Supplier#000000046____CANADA                  10503         46          3
        31 Supplier#000000046____CANADA                  10503         46          3
        31 Supplier#000000046____CANADA                  10503         46          3
        31 Supplier#000000046____CANADA                  10503         46          3
        31 Supplier#000000046____CANADA                  10503         46          3
        31 Supplier#000000046____CANADA                  10503         46          3
        31 Supplier#000000046____CANADA                  10503         46          3
        32 Supplier#000000016___CANADA                    1972         16          3
        32 Supplier#000000046____JAPAN                   10503         46         12
        32 Supplier#000000046____JAPAN                   10503         46         12
        32 Supplier#000000046____JAPAN                   10503         46         12
        32 Supplier#000000046____JAPAN                   10503         46         12
        32 Supplier#000000046____JAPAN                   10503         46         12
        32 Supplier#000000046____JAPAN                   10503         46         12
        32 Supplier#000000046____JAPAN                   10503         46         12
        32 Supplier#000000046____JAPAN                   10503         46         12
        33 Supplier#000000017___INDONESIA                 1740         17          9
        33 Supplier#000000028____MOZAMBIQUE              10233         28         16
        33 Supplier#000000028____MOZAMBIQUE              10233         28         16
        33 Supplier#000000028____MOZAMBIQUE              10233         28         16
        33 Supplier#000000028____MOZAMBIQUE              10233         28         16
        33 Supplier#000000028____MOZAMBIQUE              10233         28         16
        33 Supplier#000000028____MOZAMBIQUE              10233         28         16
        33 Supplier#000000028____MOZAMBIQUE              10233         28         16
        33 Supplier#000000028____MOZAMBIQUE              10233         28         16
        34 Supplier#000000017___ROMANIA                   1740         17         19
        34 Supplier#000000028____INDONESIA               10233         28          9
        34 Supplier#000000028____INDONESIA               10233         28          9
        34 Supplier#000000028____INDONESIA               10233         28          9
        34 Supplier#000000028____INDONESIA               10233         28          9
        34 Supplier#000000028____INDONESIA               10233         28          9
        34 Supplier#000000028____INDONESIA               10233         28          9
        34 Supplier#000000028____INDONESIA               10233         28          9
        34 Supplier#000000028____INDONESIA               10233         28          9
        35 Supplier#000000018___ROMANIA                   2046         18         19
        35 Supplier#000000028____IRAN                    10233         28         10
        35 Supplier#000000028____IRAN                    10233         28         10
        35 Supplier#000000028____IRAN                    10233         28         10
        35 Supplier#000000028____IRAN                    10233         28         10
        35 Supplier#000000028____IRAN                    10233         28         10
        35 Supplier#000000028____IRAN                    10233         28         10
        35 Supplier#000000028____IRAN                    10233         28         10
        35 Supplier#000000028____IRAN                    10233         28         10
        36 Supplier#000000018___CANADA                    2046         18          3
        36 Supplier#000000019____ROMANIA                 10962         19         19
        36 Supplier#000000019____ROMANIA                 10962         19         19
        36 Supplier#000000019____ROMANIA                 10962         19         19
        36 Supplier#000000019____ROMANIA                 10962         19         19
        36 Supplier#000000019____ROMANIA                 10962         19         19
        36 Supplier#000000019____ROMANIA                 10962         19         19
        36 Supplier#000000019____ROMANIA                 10962         19         19
        36 Supplier#000000019____ROMANIA                 10962         19         19
        37 Supplier#000000019___ROMANIA                   2436         19         19
        37 Supplier#000000019____EGYPT                   10962         19          4
        37 Supplier#000000019____EGYPT                   10962         19          4
        37 Supplier#000000019____EGYPT                   10962         19          4
        37 Supplier#000000019____EGYPT                   10962         19          4
        37 Supplier#000000019____EGYPT                   10962         19          4
        37 Supplier#000000019____EGYPT                   10962         19          4
        37 Supplier#000000019____EGYPT                   10962         19          4
        37 Supplier#000000019____EGYPT                   10962         19          4
        38 Supplier#000000019___EGYPT                     2436         19          4
        38 Supplier#000000019____INDONESIA               10962         19          9
        38 Supplier#000000019____INDONESIA               10962         19          9
        38 Supplier#000000019____INDONESIA               10962         19          9
        38 Supplier#000000019____INDONESIA               10962         19          9
        38 Supplier#000000019____INDONESIA               10962         19          9
        38 Supplier#000000019____INDONESIA               10962         19          9
        38 Supplier#000000019____INDONESIA               10962         19          9
        38 Supplier#000000019____INDONESIA               10962         19          9
        39 Supplier#000000020___BRAZIL                    1908         20          2
        39 Supplier#000000083____BRAZIL                   9072         83          2
        39 Supplier#000000083____BRAZIL                   9072         83          2
        39 Supplier#000000083____BRAZIL                   9072         83          2
        39 Supplier#000000083____BRAZIL                   9072         83          2
        39 Supplier#000000083____BRAZIL                   9072         83          2
        39 Supplier#000000083____BRAZIL                   9072         83          2
        39 Supplier#000000083____BRAZIL                   9072         83          2
        39 Supplier#000000083____BRAZIL                   9072         83          2
        40 Supplier#000000020___UNITED STATES             1908         20         24
        40 Supplier#000000083____EGYPT                    9072         83          4
        40 Supplier#000000083____EGYPT                    9072         83          4
        40 Supplier#000000083____EGYPT                    9072         83          4
        40 Supplier#000000083____EGYPT                    9072         83          4
        40 Supplier#000000083____EGYPT                    9072         83          4
        40 Supplier#000000083____EGYPT                    9072         83          4
        40 Supplier#000000083____EGYPT                    9072         83          4
        40 Supplier#000000083____EGYPT                    9072         83          4
        41 Supplier#000000021___CANADA                    1924         21          3
        41 Supplier#000000083____INDONESIA                9072         83          9
        41 Supplier#000000083____INDONESIA                9072         83          9
        41 Supplier#000000083____INDONESIA                9072         83          9
        41 Supplier#000000083____INDONESIA                9072         83          9
        41 Supplier#000000083____INDONESIA                9072         83          9
        41 Supplier#000000083____INDONESIA                9072         83          9
        41 Supplier#000000083____INDONESIA                9072         83          9
        41 Supplier#000000083____INDONESIA                9072         83          9
        42 Supplier#000000021___BRAZIL                    1924         21          2
        42 Supplier#000000098____CANADA                   8424         98          3
        42 Supplier#000000098____CANADA                   8424         98          3
        42 Supplier#000000098____CANADA                   8424         98          3
        42 Supplier#000000098____CANADA                   8424         98          3
        42 Supplier#000000098____CANADA                   8424         98          3
        42 Supplier#000000098____CANADA                   8424         98          3
        42 Supplier#000000098____CANADA                   8424         98          3
        42 Supplier#000000098____CANADA                   8424         98          3
        43 Supplier#000000022___KENYA                     2174         22         14
        43 Supplier#000000098____IRAN                     8424         98         10
        43 Supplier#000000098____IRAN                     8424         98         10
        43 Supplier#000000098____IRAN                     8424         98         10
        43 Supplier#000000098____IRAN                     8424         98         10
        43 Supplier#000000098____IRAN                     8424         98         10
        43 Supplier#000000098____IRAN                     8424         98         10
        43 Supplier#000000098____IRAN                     8424         98         10
        43 Supplier#000000098____IRAN                     8424         98         10
        44 Supplier#000000022___VIETNAM                   2174         22         21
        44 Supplier#000000098____ALGERIA                  8424         98          0
        44 Supplier#000000098____ALGERIA                  8424         98          0
        44 Supplier#000000098____ALGERIA                  8424         98          0
        44 Supplier#000000098____ALGERIA                  8424         98          0
        44 Supplier#000000098____ALGERIA                  8424         98          0
        44 Supplier#000000098____ALGERIA                  8424         98          0
        44 Supplier#000000098____ALGERIA                  8424         98          0
        44 Supplier#000000098____ALGERIA                  8424         98          0
        45 Supplier#000000023___EGYPT                     1726         23          4
        45 Supplier#000000041____CANADA                   9396         41          3
        45 Supplier#000000041____CANADA                   9396         41          3
        45 Supplier#000000041____CANADA                   9396         41          3
        45 Supplier#000000041____CANADA                   9396         41          3
        45 Supplier#000000041____CANADA                   9396         41          3
        45 Supplier#000000041____CANADA                   9396         41          3
        45 Supplier#000000041____CANADA                   9396         41          3
        45 Supplier#000000041____CANADA                   9396         41          3
        46 Supplier#000000023___IRAN                      1726         23         10
        46 Supplier#000000041____ALGERIA                  9396         41          0
        46 Supplier#000000041____ALGERIA                  9396         41          0
        46 Supplier#000000041____ALGERIA                  9396         41          0
        46 Supplier#000000041____ALGERIA                  9396         41          0
        46 Supplier#000000041____ALGERIA                  9396         41          0
        46 Supplier#000000041____ALGERIA                  9396         41          0
        46 Supplier#000000041____ALGERIA                  9396         41          0
        46 Supplier#000000041____ALGERIA                  9396         41          0
        47 Supplier#000000024___INDONESIA                 1788         24          9
        47 Supplier#000000041____MOZAMBIQUE               9396         41         16
        47 Supplier#000000041____MOZAMBIQUE               9396         41         16
        47 Supplier#000000041____MOZAMBIQUE               9396         41         16
        47 Supplier#000000041____MOZAMBIQUE               9396         41         16
        47 Supplier#000000041____MOZAMBIQUE               9396         41         16
        47 Supplier#000000041____MOZAMBIQUE               9396         41         16
        47 Supplier#000000041____MOZAMBIQUE               9396         41         16
        47 Supplier#000000041____MOZAMBIQUE               9396         41         16
        48 Supplier#000000024___ALGERIA                   1788         24          0
        48 Supplier#000000030____CANADA                   9486         30          3
        48 Supplier#000000030____CANADA                   9486         30          3
        48 Supplier#000000030____CANADA                   9486         30          3
        48 Supplier#000000030____CANADA                   9486         30          3
        48 Supplier#000000030____CANADA                   9486         30          3
        48 Supplier#000000030____CANADA                   9486         30          3
        48 Supplier#000000030____CANADA                   9486         30          3
        48 Supplier#000000030____CANADA                   9486         30          3
        49 Supplier#000000025___BRAZIL                    1882         25          2
        49 Supplier#000000030____IRAN                     9486         30         10
        49 Supplier#000000030____IRAN                     9486         30         10
        49 Supplier#000000030____IRAN                     9486         30         10
        49 Supplier#000000030____IRAN                     9486         30         10
        49 Supplier#000000030____IRAN                     9486         30         10
        49 Supplier#000000030____IRAN                     9486         30         10
        49 Supplier#000000030____IRAN                     9486         30         10
        49 Supplier#000000030____IRAN                     9486         30         10
        50 Supplier#000000025___ALGERIA                   1882         25          0
        50 Supplier#000000030____ROMANIA                  9486         30         19
        50 Supplier#000000030____ROMANIA                  9486         30         19
        50 Supplier#000000030____ROMANIA                  9486         30         19
        50 Supplier#000000030____ROMANIA                  9486         30         19
        50 Supplier#000000030____ROMANIA                  9486         30         19
        50 Supplier#000000030____ROMANIA                  9486         30         19
        50 Supplier#000000030____ROMANIA                  9486         30         19
        50 Supplier#000000030____ROMANIA                  9486         30         19
        51 Supplier#000000026___EGYPT                     1768         26          4
        51 Supplier#000000063____IRAN                     8334         63         10
        51 Supplier#000000063____IRAN                     8334         63         10
        51 Supplier#000000063____IRAN                     8334         63         10
        51 Supplier#000000063____IRAN                     8334         63         10
        51 Supplier#000000063____IRAN                     8334         63         10
        51 Supplier#000000063____IRAN                     8334         63         10
        51 Supplier#000000063____IRAN                     8334         63         10
        51 Supplier#000000063____IRAN                     8334         63         10
        52 Supplier#000000026___VIETNAM                   1768         26         21
        52 Supplier#000000063____MOZAMBIQUE               8334         63         16
        52 Supplier#000000063____MOZAMBIQUE               8334         63         16
        52 Supplier#000000063____MOZAMBIQUE               8334         63         16
        52 Supplier#000000063____MOZAMBIQUE               8334         63         16
        52 Supplier#000000063____MOZAMBIQUE               8334         63         16
        52 Supplier#000000063____MOZAMBIQUE               8334         63         16
        52 Supplier#000000063____MOZAMBIQUE               8334         63         16
        52 Supplier#000000063____MOZAMBIQUE               8334         63         16
        53 Supplier#000000027___EGYPT                     1864         27          4
        53 Supplier#000000063____SAUDI ARABIA             8334         63         20
        53 Supplier#000000063____SAUDI ARABIA             8334         63         20
        53 Supplier#000000063____SAUDI ARABIA             8334         63         20
        53 Supplier#000000063____SAUDI ARABIA             8334         63         20
        53 Supplier#000000063____SAUDI ARABIA             8334         63         20
        53 Supplier#000000063____SAUDI ARABIA             8334         63         20
        53 Supplier#000000063____SAUDI ARABIA             8334         63         20
        53 Supplier#000000063____SAUDI ARABIA             8334         63         20
        54 Supplier#000000027___IRAN                      1864         27         10
        54 Supplier#000000060____IRAN                     8406         60         10
        54 Supplier#000000060____IRAN                     8406         60         10
        54 Supplier#000000060____IRAN                     8406         60         10
        54 Supplier#000000060____IRAN                     8406         60         10
        54 Supplier#000000060____IRAN                     8406         60         10
        54 Supplier#000000060____IRAN                     8406         60         10
        54 Supplier#000000060____IRAN                     8406         60         10
        54 Supplier#000000060____IRAN                     8406         60         10
        55 Supplier#000000028___MOZAMBIQUE                2274         28         16
        55 Supplier#000000060____GERMANY                  8406         60          7
        55 Supplier#000000060____GERMANY                  8406         60          7
        55 Supplier#000000060____GERMANY                  8406         60          7
        55 Supplier#000000060____GERMANY                  8406         60          7
        55 Supplier#000000060____GERMANY                  8406         60          7
        55 Supplier#000000060____GERMANY                  8406         60          7
        55 Supplier#000000060____GERMANY                  8406         60          7
        55 Supplier#000000060____GERMANY                  8406         60          7
        56 Supplier#000000028___INDONESIA                 2274         28          9
        56 Supplier#000000060____ROMANIA                  8406         60         19
        56 Supplier#000000060____ROMANIA                  8406         60         19
        56 Supplier#000000060____ROMANIA                  8406         60         19
        56 Supplier#000000060____ROMANIA                  8406         60         19
        56 Supplier#000000060____ROMANIA                  8406         60         19
        56 Supplier#000000060____ROMANIA                  8406         60         19
        56 Supplier#000000060____ROMANIA                  8406         60         19
        56 Supplier#000000060____ROMANIA                  8406         60         19
        57 Supplier#000000029___JAPAN                     1538         29         12
        57 Supplier#000000096____MOROCCO                  9243         96         15
        57 Supplier#000000096____MOROCCO                  9243         96         15
        57 Supplier#000000096____MOROCCO                  9243         96         15
        57 Supplier#000000096____MOROCCO                  9243         96         15
        57 Supplier#000000096____MOROCCO                  9243         96         15
        57 Supplier#000000096____MOROCCO                  9243         96         15
        57 Supplier#000000096____MOROCCO                  9243         96         15
        57 Supplier#000000096____MOROCCO                  9243         96         15
        58 Supplier#000000029___INDONESIA                 1538         29          9
